"X","id","itemTime","trial","RT","number_chosen","number_not_chosen","quantifier","clicked_left","language","comments","engagement","difficulty","time","id_int","time_minutes","quantifier_num","chose_higher","higher","lower"
11,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510873177,11,152,209,209,"Most",1,"english",NA,3,0,162666,46,2.7111,7,0,209,209
12,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510873355,12,177,209,217,"Most",1,"english",NA,3,0,162666,46,2.7111,7,0,217,209
13,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510873534,13,177,88,209,"Most",1,"english",NA,3,0,162666,46,2.7111,7,0,209,88
14,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510873865,14,330,88,80,"Most",1,"english",NA,3,0,162666,46,2.7111,7,1,88,80
15,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510873888,15,21,88,109,"Most",1,"english",NA,3,0,162666,46,2.7111,7,0,109,88
16,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510874050,16,159,104,88,"Most",1,"english",NA,3,0,162666,46,2.7111,7,1,104,88
17,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510874243,17,190,85,104,"Most",1,"english",NA,3,0,162666,46,2.7111,7,0,104,85
18,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510874494,18,250,85,192,"Most",1,"english",NA,3,0,162666,46,2.7111,7,0,192,85
19,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510874586,19,90,85,107,"Most",1,"english",NA,3,0,162666,46,2.7111,7,0,107,85
20,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510874759,20,173,85,59,"Most",1,"english",NA,3,0,162666,46,2.7111,7,1,85,59
21,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510874968,21,208,85,60,"Most",1,"english",NA,3,0,162666,46,2.7111,7,1,85,60
22,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510875161,22,191,59,85,"Most",1,"english",NA,3,0,162666,46,2.7111,7,0,85,59
23,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510875361,23,199,59,132,"Most",1,"english",NA,3,0,162666,46,2.7111,7,0,132,59
24,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510875963,24,601,31,59,"Most",1,"english",NA,3,0,162666,46,2.7111,7,0,59,31
25,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510876474,25,509,31,258,"Most",1,"english",NA,3,0,162666,46,2.7111,7,0,258,31
26,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510876722,26,246,14,31,"Most",1,"english",NA,3,0,162666,46,2.7111,7,0,31,14
27,"A03846191RWU57N8DCK72:3X87C8JFV7JUSCXH00P6SHUCLALQSJ",1484510879019,27,2296,14,267,"Most",1,"english",NA,3,0,162666,46,2.7111,7,0,267,14
