"X","id","itemTime","trial","RT","number_chosen","number_not_chosen","quantifier","clicked_left","language","comments","engagement","difficulty","time","time_minutes","quantifier_num","chose_higher","higher","lower","id_int","pred_barker","pred_barker_chosen","pred_barker_not_chosen","pred_distance","pred_distance_chosen","pred_distance_not_chosen","pred_closer","pred_closer_chosen","pred_closer_not_chosen","mode_barker","mode_distance","mode_closer","a_barker","a_distance","a_closer","b_barker","b_distance","b_closer"
11,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877542225,11,3809,197,170,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,1,197,170,1,0.514,0.514,0.486,0.581,0.581,0.419,0.714,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
12,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877545418,12,3185,197,29,"Half",1,"English",NA,8,6,757997,12.6332833333333,4,1,197,29,1,0.883,0.883,0.117,0.884,0.884,0.116,0.714,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
13,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877550587,13,5162,197,216,"Half",1,"English",NA,8,6,757997,12.6332833333333,4,0,216,197,1,0.498,0.502,0.498,0.467,0.533,0.467,0.714,0.286,0.714,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
14,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877554103,14,3510,196,197,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,0,197,196,1,0.5,0.5,0.5,0.497,0.503,0.497,0.286,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
15,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877560509,15,6399,196,190,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,1,196,190,1,0.502,0.502,0.498,0.518,0.518,0.482,0.714,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
16,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877565008,16,4494,212,196,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,1,212,196,1,0.502,0.502,0.498,0.548,0.548,0.452,0.286,0.286,0.714,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
17,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877567703,17,2688,212,399,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,0,399,212,1,0.878,0.122,0.878,0.905,0.095,0.905,0.714,0.286,0.714,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
18,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877572222,18,4514,212,144,"Half",1,"English",NA,8,6,757997,12.6332833333333,4,1,212,144,1,0.543,0.543,0.457,0.694,0.694,0.306,0.714,0.714,0.286,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
19,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877578474,19,6248,212,223,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,0,223,212,1,0.501,0.499,0.501,0.533,0.467,0.533,0.714,0.286,0.714,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
20,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877581126,20,2648,212,337,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,0,337,212,1,0.659,0.341,0.659,0.819,0.181,0.819,0.714,0.286,0.714,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
21,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877585309,21,4178,205,212,"Half",0,"English",NA,8,6,757997,12.6332833333333,4,0,212,205,1,0.5,0.5,0.5,0.479,0.521,0.479,0.714,0.286,0.714,145,212,198,5.325,63.015,49.07,5.544,61.622,53.97
