"X","id","itemTime","trial","RT","number_chosen","number_not_chosen","quantifier","clicked_left","language","comments","engagement","difficulty","time"
1,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877501889,1,3864,209,49,"Half","right","English",NA,8,6,757997
2,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877506563,2,4666,209,335,"Half","right","English",NA,8,6,757997
3,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877511036,3,4468,204,209,"Half","right","English",NA,8,6,757997
4,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877515593,4,4551,201,204,"Half","right","English",NA,8,6,757997
5,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877520579,5,4982,201,209,"Half","left","English",NA,8,6,757997
6,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877523547,6,2962,201,1,"Half","left","English",NA,8,6,757997
7,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877528575,7,5024,185,201,"Half","right","English",NA,8,6,757997
8,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877531550,8,2970,185,38,"Half","left","English",NA,8,6,757997
9,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877536312,9,4757,197,185,"Half","right","English",NA,8,6,757997
10,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877538408,10,2088,197,1,"Half","right","English",NA,8,6,757997
11,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877542225,11,3809,197,170,"Half","right","English",NA,8,6,757997
12,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877545418,12,3185,197,29,"Half","left","English",NA,8,6,757997
13,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877550587,13,5162,197,216,"Half","left","English",NA,8,6,757997
14,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877554103,14,3510,196,197,"Half","right","English",NA,8,6,757997
15,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877560509,15,6399,196,190,"Half","right","English",NA,8,6,757997
16,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877565008,16,4494,212,196,"Half","right","English",NA,8,6,757997
17,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877567703,17,2688,212,399,"Half","right","English",NA,8,6,757997
18,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877572222,18,4514,212,144,"Half","left","English",NA,8,6,757997
19,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877578474,19,6248,212,223,"Half","right","English",NA,8,6,757997
20,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877581126,20,2648,212,337,"Half","right","English",NA,8,6,757997
21,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877585309,21,4178,205,212,"Half","right","English",NA,8,6,757997
22,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877589083,22,3769,205,202,"Half","left","English",NA,8,6,757997
23,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877593343,23,4257,205,186,"Half","right","English",NA,8,6,757997
24,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877596322,24,2974,205,207,"Half","right","English",NA,8,6,757997
25,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877600382,25,4058,205,112,"Half","left","English",NA,8,6,757997
26,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877603319,26,2928,205,55,"Half","right","English",NA,8,6,757997
27,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877609774,27,6447,205,194,"Half","right","English",NA,8,6,757997
28,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877613897,28,4119,205,206,"Half","left","English",NA,8,6,757997
29,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877617735,29,3831,205,225,"Half","left","English",NA,8,6,757997
30,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877621495,30,3755,205,211,"Half","right","English",NA,8,6,757997
31,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877624231,31,2728,205,27,"Half","left","English",NA,8,6,757997
32,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877628277,32,4043,200,205,"Half","right","English",NA,8,6,757997
33,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877631758,33,3477,189,200,"Half","left","English",NA,8,6,757997
34,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877635621,34,3859,189,252,"Half","right","English",NA,8,6,757997
35,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877638551,35,2925,189,194,"Half","right","English",NA,8,6,757997
36,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877642302,36,3745,176,189,"Half","left","English",NA,8,6,757997
37,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877646494,37,4188,176,182,"Half","left","English",NA,8,6,757997
38,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877649370,38,2873,157,176,"Half","right","English",NA,8,6,757997
39,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877655853,39,6479,157,363,"Half","left","English",NA,8,6,757997
40,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877659969,40,4112,157,175,"Half","right","English",NA,8,6,757997
41,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877662864,41,2891,157,403,"Half","right","English",NA,8,6,757997
42,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877666128,42,3260,157,119,"Half","right","English",NA,8,6,757997
43,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877670284,43,4152,158,157,"Half","left","English",NA,8,6,757997
44,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877674741,44,4452,158,153,"Half","right","English",NA,8,6,757997
45,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877677652,45,2902,158,362,"Half","right","English",NA,8,6,757997
46,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877680640,46,2982,156,158,"Half","right","English",NA,8,6,757997
47,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877686760,47,6114,156,142,"Half","left","English",NA,8,6,757997
48,"A16KDMZ7CEDHNV:3PZDLQMM0UTXTC601395HUSQFGE2C4",1474877695658,48,8893,156,151,"Half","right","English",NA,8,6,757997
